Open Time,Open,High,Low,Close,Volume
1735272000000,96417.84000000,96595.98000000,96229.39000000,96300.00000000,892.67108000
1735275600000,96300.01000000,96333.77000000,96001.00000000,96238.89000000,623.74969000
1735279200000,96238.89000000,96594.44000000,96107.28000000,96594.16000000,389.55148000
1735282800000,96594.17000000,96604.24000000,94646.03000000,95104.76000000,2694.55677000
1735286400000,95104.76000000,96395.00000000,95104.76000000,95724.02000000,1419.07808000
1735290000000,95724.01000000,97544.58000000,95674.00000000,96774.13000000,2345.43490000
1735293600000,96774.14000000,97029.25000000,96195.20000000,96605.46000000,732.07575000
1735297200000,96605.46000000,96953.71000000,96377.77000000,96952.38000000,466.91984000
1735300800000,96952.38000000,97035.80000000,96617.64000000,96686.75000000,616.98763000
1735304400000,96686.74000000,96686.74000000,96229.66000000,96407.99000000,791.88930000
1735308000000,96407.99000000,96480.00000000,95161.17000000,95691.99000000,1516.74425000
1735311600000,95692.00000000,95718.13000000,94011.11000000,94573.75000000,3500.11218000
1735315200000,94573.75000000,94996.16000000,94101.02000000,94165.92000000,1635.42881000
1735318800000,94165.92000000,94354.82000000,93500.01000000,94291.30000000,2312.03777000
1735322400000,94291.30000000,94770.15000000,94212.30000000,94566.06000000,756.45526000
1735326000000,94566.05000000,94810.07000000,94252.00000000,94750.00000000,575.05533000
1735329600000,94750.11000000,94778.43000000,94313.82000000,94588.12000000,742.35545000
1735333200000,94588.12000000,94823.09000000,94379.35000000,94526.07000000,397.53728000
1735336800000,94526.07000000,94674.50000000,94200.00000000,94437.75000000,459.69514000
1735340400000,94437.75000000,94526.09000000,94100.60000000,94299.03000000,697.68420000
1735344000000,94299.03000000,94544.35000000,94243.32000000,94398.75000000,435.25082000
1735347600000,94398.75000000,94615.24000000,94135.66000000,94556.93000000,377.17171000
1735351200000,94556.92000000,94619.00000000,94276.01000000,94338.00000000,288.78768000
1735354800000,94338.00000000,94720.00000000,94335.88000000,94594.91000000,240.31584000
1735358400000,94594.91000000,94643.87000000,94511.71000000,94524.00000000,185.04174000
1735362000000,94524.00000000,94800.00000000,94523.99000000,94625.64000000,245.81860000
1735365600000,94625.64000000,94724.88000000,94405.28000000,94466.49000000,304.41114000
1735369200000,94466.49000000,94634.25000000,94307.00000000,94381.99000000,235.91255000
1735372800000,94381.98000000,94539.43000000,94312.67000000,94488.01000000,189.15654000
1735376400000,94488.01000000,94692.30000000,94488.01000000,94589.27000000,281.34727000
1735380000000,94589.28000000,94716.06000000,94502.21000000,94619.99000000,276.54014000
1735383600000,94620.00000000,94883.00000000,94600.00000000,94754.83000000,316.63364000
1735387200000,94754.83000000,94880.00000000,94577.66000000,94599.57000000,294.25135000
1735390800000,94599.56000000,94761.33000000,94496.73000000,94665.94000000,394.23476000
1735394400000,94665.29000000,95340.36000000,94411.76000000,94583.99000000,905.83186000
1735398000000,94583.99000000,94819.57000000,94375.80000000,94447.29000000,418.82501000
1735401600000,94447.28000000,94923.06000000,94389.45000000,94874.89000000,556.98186000
1735405200000,94874.89000000,95245.24000000,94810.51000000,95022.57000000,570.88991000
1735408800000,95022.58000000,95100.00000000,94715.16000000,94837.31000000,305.64776000
1735412400000,94837.31000000,95138.05000000,94837.30000000,95027.76000000,265.45992000
1735416000000,95027.75000000,95151.13000000,94878.26000000,95083.05000000,193.31417000
1735419600000,95083.05000000,95223.72000000,94968.86000000,95171.67000000,208.89259000
1735423200000,95171.67000000,95733.99000000,95047.11000000,95326.40000000,556.46419000
1735426800000,95326.40000000,95408.90000000,95112.43000000,95300.00000000,338.71185000
1735430400000,95300.00000000,95340.00000000,95042.60000000,95148.49000000,283.78071000
1735434000000,95148.49000000,95210.22000000,94808.00000000,94857.65000000,316.37330000
1735437600000,94857.66000000,95211.88000000,94851.25000000,95154.50000000,237.18289000
1735441200000,95154.50000000,95221.69000000,94978.33000000,95172.40000000,215.77474000
1735444800000,95172.41000000,95283.99000000,95063.40000000,95126.39000000,211.83200000
1735448400000,95126.39000000,95199.97000000,95071.21000000,95118.89000000,135.90901000
1735452000000,95118.89000000,95212.00000000,94971.44000000,95181.70000000,270.97676000
